algorithm,seed,cost_function,value,name,level
IQL,3,power_outage_normalized_unserved_energy_total,0.5396869322365916,Building_3,building
IQL,3,annual_normalized_unserved_energy_total,0.01169564912771981,Building_3,building
CQL,1,all_time_peak_average,1.327489548649247,District,district
CQL,1,annual_normalized_unserved_energy_total,0.017544891852530418,District,district
CQL,1,carbon_emissions_total,1.3814914037072346,District,district
CQL,1,cost_total,1.3682568769989174,District,district
CQL,1,daily_one_minus_load_factor_average,0.9953135832324129,District,district
CQL,1,daily_peak_average,1.2649703737069344,District,district
CQL,1,discomfort_cold_delta_average,2.4235925281489337,District,district
CQL,1,discomfort_cold_delta_maximum,8.440982818603516,District,district
CQL,1,discomfort_cold_delta_minimum,0.0,District,district
CQL,1,discomfort_cold_proportion,0.6441511268988246,District,district
CQL,1,discomfort_hot_delta_average,0.3390029801262749,District,district
CQL,1,discomfort_hot_delta_maximum,5.613317489624023,District,district
CQL,1,discomfort_hot_delta_minimum,0.0,District,district
CQL,1,discomfort_hot_proportion,0.07583022873511457,District,district
CQL,1,discomfort_proportion,0.7199813556339393,District,district
CQL,1,electricity_consumption_total,1.3851317719348788,District,district
CQL,1,monthly_one_minus_load_factor_average,1.009638904881193,District,district
CQL,1,one_minus_thermal_resilience_proportion,0.5238095238095238,District,district
CQL,1,power_outage_normalized_unserved_energy_total,0.7439071930745053,District,district
